collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
federated media,2,0,2,0.3%,0.0%,0.7%,1698,0,1698,0.1%,0.0%,0.2%,50.0%,0%,50.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
national collegiate student loan trust 2004-2,2,0,2,0.3%,0.0%,0.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,50.0%,0%,50.0%
horizon bank,2,1,1,0.3%,0.3%,0.3%,15368,0,15368,0.9%,0.0%,1.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
velocity investments llc assignee of prosper funding llc assignee of webbank,2,1,1,0.3%,0.3%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
regional acceptance corp,2,1,1,0.3%,0.3%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,100.0%,0.0%
american express national bank,2,1,1,0.3%,0.3%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
united auto credit corporation,2,1,1,0.3%,0.3%,0.3%,7359,0,7359,0.5%,0.0%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
one advantage llc,2,2,0,0.3%,0.5%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,50.0%,50.0%,0%
prestige financial services,2,2,0,0.3%,0.5%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
kitch acceptance corp,2,2,0,0.3%,0.5%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
creditone llc,2,2,0,0.3%,0.5%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
credit acceptance corporation,2,2,0,0.3%,0.5%,0.0%,23092,23092,0,1.4%,4.4%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
credit acceptance corporation.,1,0,1,0.2%,0.0%,0.3%,13388,0,13388,0.8%,0.0%,1.2%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
cavalry spv i llc as assignee of synchrony bank,1,0,1,0.2%,0.0%,0.3%,1305,0,1305,0.1%,0.0%,0.1%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
bmo harris bank na,1,0,1,0.2%,0.0%,0.3%,36349,0,36349,2.2%,0.0%,3.3%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
lake city bank,1,0,1,0.2%,0.0%,0.3%,9100,0,9100,0.6%,0.0%,0.8%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
st joseph regional medical center plymouth campus inc,1,0,1,0.2%,0.0%,0.3%,2945,0,2945,0.2%,0.0%,0.3%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
glenbrook credit acceptance,1,0,1,0.2%,0.0%,0.3%,22082,0,22082,1.4%,0.0%,2.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
pro fed federal credit union,1,0,1,0.2%,0.0%,0.3%,36361,0,36361,2.2%,0.0%,3.3%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
partners first federal credit union,1,0,1,0.2%,0.0%,0.3%,12612,0,12612,0.8%,0.0%,1.1%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
cvi sgp-co acquisition trust,1,0,1,0.2%,0.0%,0.3%,3819,0,3819,0.2%,0.0%,0.3%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
city of south bend,1,0,1,0.2%,0.0%,0.3%,932,0,932,0.1%,0.0%,0.1%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
