collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
professional financial services,2,2,0,0.4%,0.5%,0.0%,10436,10436,0,0.9%,1.2%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,50.0%,50.0%,0%
wells fargo bank na,2,2,0,0.4%,0.5%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
solidarity community federal credit union,2,2,0,0.4%,0.5%,0.0%,28239,28239,0,2.3%,3.1%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,50.0%,50.0%,0%
galaxy international purchasing ll,2,2,0,0.4%,0.5%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
crane credit union,2,2,0,0.4%,0.5%,0.0%,4154,4154,0,0.3%,0.5%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,50.0%,50.0%,0%
capital one na,2,2,0,0.4%,0.5%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
department stores national bank,2,2,0,0.4%,0.5%,0.0%,15515,15515,0,1.3%,1.7%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,50.0%,50.0%,0%
resurgent receivables llc,2,2,0,0.4%,0.5%,0.0%,1603,1603,0,0.1%,0.2%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
cks prime investments llc,2,2,0,0.4%,0.5%,0.0%,2827,2827,0,0.2%,0.3%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
angermeier curt,1,0,1,0.2%,0.0%,1.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
h & s financial inc,1,0,1,0.2%,0.0%,1.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
birk law firm,1,0,1,0.2%,0.0%,1.5%,13977,0,13977,1.1%,0.0%,4.5%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
ferguson enterprises inc,1,0,1,0.2%,0.0%,1.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
old national bank,1,0,1,0.2%,0.0%,1.5%,14107,0,14107,1.2%,0.0%,4.5%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
enerbank usa,1,0,1,0.2%,0.0%,1.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
state of indiana ex rel. state lottery commission of indiana,1,0,1,0.2%,0.0%,1.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
biesecker dutkanych & macer llc,1,0,1,0.2%,0.0%,1.5%,8289,0,8289,0.7%,0.0%,2.6%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
whayne supply company,1,0,1,0.2%,0.0%,1.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
pavilion lakes apartments,1,0,1,0.2%,0.0%,1.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
evansville electrical joint apprenticeship and training committee,1,0,1,0.2%,0.0%,1.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
