collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
eagle finance company,6,2,4,0.3%,0.2%,0.4%,10946,5986,4960,0.3%,0.5%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,100.0%,50.0%
heights finance corporation,6,2,4,0.3%,0.2%,0.4%,18406,4265,14142,0.5%,0.4%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,50.0%,75.0%
parke county ems,6,2,4,0.3%,0.2%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,50.0%,25.0%
sullivan county community hospital,6,5,1,0.3%,0.5%,0.1%,9395,0,9395,0.3%,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
cvi sgp acquisition trust,6,0,6,0.3%,0.0%,0.6%,2257,0,2257,0.1%,0.0%,0.1%,0.0%,0%,0.0%,0.0%,0%,0.0%,33.3%,0%,33.3%
cvi sgp-co acquisition trust,6,0,6,0.3%,0.0%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
ambulance management services,6,6,0,0.3%,0.5%,0.0%,2194,2194,0,0.1%,0.2%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,33.3%,33.3%,0%
cavalry spv i llc as assignee of synchrony bank,5,0,5,0.2%,0.0%,0.5%,14546,0,14546,0.4%,0.0%,0.6%,40.0%,0%,40.0%,0.0%,0%,0.0%,80.0%,0%,80.0%
uap clinic llc,5,0,5,0.2%,0.0%,0.5%,2699,0,2699,0.1%,0.0%,0.1%,0.0%,0%,0.0%,0.0%,0%,0.0%,80.0%,0%,80.0%
portfoliore recovery associates llc,5,0,5,0.2%,0.0%,0.5%,966,0,966,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,40.0%,0%,40.0%
rent to own rentals llc,5,0,5,0.2%,0.0%,0.5%,29544,0,29544,0.8%,0.0%,1.3%,0.0%,0%,0.0%,0.0%,0%,0.0%,80.0%,0%,80.0%
ambulance management services ltd.,5,3,2,0.2%,0.3%,0.2%,4050,0,4050,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,20.0%,0.0%,50.0%
goldman sachs bank usa,5,5,0,0.2%,0.5%,0.0%,0,0,0,0.0%,0.0%,0.0%,20.0%,20.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
sac finance,4,0,4,0.2%,0.0%,0.4%,38375,0,38375,1.1%,0.0%,1.6%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
prestige financial services,4,2,2,0.2%,0.2%,0.2%,15443,167,15276,0.4%,0.0%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,50.0%
westlake services llc dba westlake financial services,4,2,2,0.2%,0.2%,0.2%,12601,0,12601,0.4%,0.0%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
