collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
morris plan company of terre haute inc,1,0,1,0.3%,0.0%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
consumer portfolio services inc successor in interest to patriot chevrolet,1,0,1,0.3%,0.0%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
mariner finance llc successor in interest to personal finance company llc,1,0,1,0.3%,0.0%,0.6%,3703,0,3703,0.3%,0.0%,0.5%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
evansville federal credit union,1,0,1,0.3%,0.0%,0.6%,8380,0,8380,0.7%,0.0%,1.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
wakefield & associates inc assignee of jackson county schneck memorial,1,0,1,0.3%,0.0%,0.6%,1848,0,1848,0.2%,0.0%,0.2%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
willowdale village,1,0,1,0.3%,0.0%,0.6%,13414,0,13414,1.1%,0.0%,1.7%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
first financial bank na,1,0,1,0.3%,0.0%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
goldman sachs bank usa,1,0,1,0.3%,0.0%,0.6%,0,0,0,0.0%,0.0%,0.0%,100.0%,0%,100.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
scales randall a,1,1,0,0.3%,0.5%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
suntrust bank,1,1,0,0.3%,0.5%,0.0%,20323,20323,0,1.7%,4.9%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
medical & professional collection services inc,1,1,0,0.3%,0.5%,0.0%,9505,9505,0,0.8%,2.3%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
