collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
lvnv funding llc,475,324,151,14.8%,18.3%,10.5%,269027,181807,87220,4.9%,8.4%,2.6%,2.7%,3.7%,0.7%,0.0%,0.0%,0.0%,34.5%,32.4%,39.1%
midland credit management inc,400,210,190,12.4%,11.9%,13.2%,318461,103184,215277,5.8%,4.8%,6.4%,1.3%,1.0%,1.6%,0.0%,0.0%,0.0%,41.8%,20.5%,65.3%
portfolio recovery associates llc,324,123,201,10.1%,6.9%,13.9%,339536,87536,252000,6.1%,4.1%,7.5%,2.5%,3.3%,2.0%,0.0%,0.0%,0.0%,53.4%,36.6%,63.7%
capital one bank (usa) na,235,192,43,7.3%,10.8%,3.0%,350943,271675,79269,6.4%,12.6%,2.4%,3.4%,3.1%,4.7%,0.0%,0.0%,0.0%,43.8%,40.6%,58.1%
discover bank,172,127,45,5.4%,7.2%,3.1%,448532,252870,195662,8.1%,11.7%,5.8%,12.8%,14.2%,8.9%,0.0%,0.0%,0.0%,45.9%,37.8%,68.9%
jefferson capital systems llc,106,39,67,3.3%,2.2%,4.6%,120854,22403,98451,2.2%,1.0%,2.9%,0.9%,2.6%,0.0%,0.0%,0.0%,0.0%,41.5%,17.9%,55.2%
citibank na,75,36,39,2.3%,2.0%,2.7%,96053,17970,78082,1.7%,0.8%,2.3%,13.3%,8.3%,17.9%,0.0%,0.0%,0.0%,53.3%,25.0%,79.5%
crown asset management llc,68,30,38,2.1%,1.7%,2.6%,133898,54113,79785,2.4%,2.5%,2.4%,5.9%,6.7%,5.3%,0.0%,0.0%,0.0%,75.0%,46.7%,97.4%
cavalry spv i llc,66,30,36,2.1%,1.7%,2.5%,171677,59014,112663,3.1%,2.7%,3.3%,7.6%,6.7%,8.3%,0.0%,0.0%,0.0%,65.2%,46.7%,80.6%
onemain financial group llc,52,32,20,1.6%,1.8%,1.4%,170973,77024,93949,3.1%,3.6%,2.8%,1.9%,0.0%,5.0%,0.0%,0.0%,0.0%,48.1%,34.4%,70.0%
bank of america na,50,21,29,1.6%,1.2%,2.0%,269420,41578,227843,4.9%,1.9%,6.8%,12.0%,0.0%,20.7%,0.0%,0.0%,0.0%,60.0%,38.1%,75.9%
mariner finance llc,48,27,21,1.5%,1.5%,1.5%,77596,40542,37054,1.4%,1.9%,1.1%,4.2%,0.0%,9.5%,0.0%,0.0%,0.0%,58.3%,33.3%,90.5%
synchrony bank,48,45,3,1.5%,2.5%,0.2%,44147,37779,6367,0.8%,1.8%,0.2%,10.4%,11.1%,0.0%,0.0%,0.0%,0.0%,33.3%,31.1%,66.7%
midland funding llc,44,4,40,1.4%,0.2%,2.8%,60077,3012,57065,1.1%,0.1%,1.7%,6.8%,0.0%,7.5%,0.0%,0.0%,0.0%,65.9%,75.0%,65.0%
forum credit union,40,19,21,1.2%,1.1%,1.5%,250519,74352,176167,4.5%,3.5%,5.2%,5.0%,5.3%,4.8%,0.0%,0.0%,0.0%,62.5%,36.8%,85.7%
american express national bank,39,32,7,1.2%,1.8%,0.5%,105211,43224,61988,1.9%,2.0%,1.8%,17.9%,18.8%,14.3%,0.0%,0.0%,0.0%,28.2%,25.0%,42.9%
eagle finance company,37,15,22,1.2%,0.8%,1.5%,47583,19446,28137,0.9%,0.9%,0.8%,2.7%,0.0%,4.5%,0.0%,0.0%,0.0%,62.2%,26.7%,86.4%
second round sub llc,37,9,28,1.2%,0.5%,1.9%,38958,0,38958,0.7%,0.0%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,67.6%,0.0%,89.3%
td bank usa na,35,31,4,1.1%,1.8%,0.3%,26853,23184,3669,0.5%,1.1%,0.1%,5.7%,3.2%,25.0%,0.0%,0.0%,0.0%,54.3%,48.4%,100.0%
unifund ccr llc,35,5,30,1.1%,0.3%,2.1%,51526,0,51526,0.9%,0.0%,1.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,57.1%,0.0%,66.7%
no plaintiff found,25,15,10,0.8%,0.8%,0.7%,4618,456,4162,0.1%,0.0%,0.1%,32.0%,33.3%,30.0%,0.0%,0.0%,0.0%,28.0%,20.0%,40.0%
cavalry spv i llc as assignee of citibank na,20,9,11,0.6%,0.5%,0.8%,60913,19154,41759,1.1%,0.9%,1.2%,10.0%,11.1%,9.1%,0.0%,0.0%,0.0%,70.0%,55.6%,81.8%
the morris plan company of terre haute inc,19,3,16,0.6%,0.2%,1.1%,132940,31944,100997,2.4%,1.5%,3.0%,10.5%,0.0%,12.5%,0.0%,0.0%,0.0%,73.7%,66.7%,75.0%
credit acceptance corp.,18,9,9,0.6%,0.5%,0.6%,36947,0,36947,0.7%,0.0%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,38.9%,11.1%,66.7%
ford motor credit company llc,18,10,8,0.6%,0.6%,0.6%,67235,34768,32467,1.2%,1.6%,1.0%,22.2%,20.0%,25.0%,0.0%,0.0%,0.0%,55.6%,40.0%,75.0%
creditmax inc,17,8,9,0.5%,0.5%,0.6%,15741,4358,11383,0.3%,0.2%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,70.6%,50.0%,88.9%
cavalry spv illc,17,3,14,0.5%,0.2%,1.0%,55931,24646,31285,1.0%,1.1%,0.9%,5.9%,0.0%,7.1%,0.0%,0.0%,0.0%,76.5%,100.0%,71.4%
credit corp solutions inc,17,10,7,0.5%,0.6%,0.5%,33211,18904,14307,0.6%,0.9%,0.4%,5.9%,0.0%,14.3%,0.0%,0.0%,0.0%,47.1%,40.0%,57.1%
dnf associates llc,16,14,2,0.5%,0.8%,0.1%,7817,6786,1031,0.1%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,43.8%,35.7%,100.0%
midland credit managementinc,16,7,9,0.5%,0.4%,0.6%,40845,17647,23198,0.7%,0.8%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,71.4%,77.8%
new world collections inc,14,9,5,0.4%,0.5%,0.3%,12373,5555,6818,0.2%,0.3%,0.2%,7.1%,0.0%,20.0%,0.0%,0.0%,0.0%,50.0%,22.2%,100.0%
joe's auto sales inc,11,4,7,0.3%,0.2%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,72.7%,25.0%,100.0%
heights finance corporation,11,6,5,0.3%,0.3%,0.3%,22314,11702,10612,0.4%,0.5%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,63.6%,50.0%,80.0%
absolute resolutions investments llc,11,5,6,0.3%,0.3%,0.4%,25844,6953,18892,0.5%,0.3%,0.6%,9.1%,20.0%,0.0%,0.0%,0.0%,0.0%,45.5%,40.0%,50.0%
heritage acceptance corporation,11,5,6,0.3%,0.3%,0.4%,19523,0,19523,0.4%,0.0%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,63.6%,20.0%,100.0%
goldman sachs bank usa,11,10,1,0.3%,0.6%,0.1%,0,0,0,0.0%,0.0%,0.0%,9.1%,0.0%,100.0%,0.0%,0.0%,0.0%,27.3%,20.0%,100.0%
credit acceptance corporation,10,8,2,0.3%,0.5%,0.1%,34265,34265,0,0.6%,1.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,62.5%,0.0%
cks prime investments llc,10,10,0,0.3%,0.6%,0.0%,6010,6010,0,0.1%,0.3%,0.0%,20.0%,20.0%,0%,0.0%,0.0%,0%,50.0%,50.0%,0%
crane credit union,9,5,4,0.3%,0.3%,0.3%,34051,9697,24354,0.6%,0.5%,0.7%,11.1%,20.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
foursight capital llc,9,4,5,0.3%,0.2%,0.3%,99286,41835,57451,1.8%,1.9%,1.7%,22.2%,50.0%,0.0%,0.0%,0.0%,0.0%,66.7%,25.0%,100.0%
barclays bank delaware,8,0,8,0.2%,0.0%,0.6%,38303,0,38303,0.7%,0.0%,1.1%,12.5%,0%,12.5%,0.0%,0%,0.0%,100.0%,0%,100.0%
jefferson capital systems llc successor in interest to fingerhut advantage,8,0,8,0.2%,0.0%,0.6%,5280,0,5280,0.1%,0.0%,0.2%,0.0%,0%,0.0%,0.0%,0%,0.0%,62.5%,0%,62.5%
velocity investments llc assignee of prosper funding llc assignee of webbank,8,4,4,0.2%,0.2%,0.3%,54615,5088,49527,1.0%,0.2%,1.5%,25.0%,25.0%,25.0%,0.0%,0.0%,0.0%,62.5%,25.0%,100.0%
velocity investments llc,8,6,2,0.2%,0.3%,0.1%,18965,3637,15328,0.3%,0.2%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,33.3%,100.0%
first portfolio ventures i llc,8,1,7,0.2%,0.1%,0.5%,19830,0,19830,0.4%,0.0%,0.6%,12.5%,0.0%,14.3%,0.0%,0.0%,0.0%,62.5%,100.0%,57.1%
cavalry spv i llc as assignee of synchrony bank,7,0,7,0.2%,0.0%,0.5%,12773,0,12773,0.2%,0.0%,0.4%,14.3%,0%,14.3%,0.0%,0%,0.0%,85.7%,0%,85.7%
cavalry spv i llc as assignee of comenity bank,7,3,4,0.2%,0.2%,0.3%,14667,12469,2198,0.3%,0.6%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,71.4%,66.7%,75.0%
financial center first credit union,7,6,1,0.2%,0.3%,0.1%,3032,0,3032,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,28.6%,16.7%,100.0%
td bank usa na as successor in interest to target national bank,7,6,1,0.2%,0.3%,0.1%,2706,2706,0,0.0%,0.1%,0.0%,14.3%,16.7%,0.0%,0.0%,0.0%,0.0%,57.1%,66.7%,0.0%
c&f finance company,6,1,5,0.2%,0.1%,0.3%,18920,0,18920,0.3%,0.0%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,83.3%,0.0%,100.0%
mariner finance llc successor in interest to personal finance company llc,6,2,4,0.2%,0.1%,0.3%,13161,1675,11487,0.2%,0.1%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,50.0%
indianapolis martial arts club llc,6,2,4,0.2%,0.1%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,100.0%
second round lp,6,0,6,0.2%,0.0%,0.4%,3784,0,3784,0.1%,0.0%,0.1%,0.0%,0%,0.0%,0.0%,0%,0.0%,50.0%,0%,50.0%
teachers credit union,6,2,4,0.2%,0.1%,0.3%,37981,14090,23891,0.7%,0.7%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,50.0%,75.0%
gateway financial solutions,6,4,2,0.2%,0.2%,0.1%,9960,9960,0,0.2%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,50.0%
autovest llc of indiana,6,4,2,0.2%,0.2%,0.1%,19476,6859,12618,0.4%,0.3%,0.4%,16.7%,25.0%,0.0%,0.0%,0.0%,0.0%,83.3%,75.0%,100.0%
department stores national bank,5,1,4,0.2%,0.1%,0.3%,27917,4476,23441,0.5%,0.2%,0.7%,40.0%,100.0%,25.0%,0.0%,0.0%,0.0%,80.0%,100.0%,75.0%
wells fargo bank na,5,3,2,0.2%,0.2%,0.1%,15577,0,15577,0.3%,0.0%,0.5%,20.0%,33.3%,0.0%,0.0%,0.0%,0.0%,80.0%,66.7%,100.0%
jefferson capital systems llc successor in interest to fingerhut direct mrkting,5,2,3,0.2%,0.1%,0.2%,1438,0,1438,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0%,50.0%,66.7%
jefferson capital systems llc successor in interest to drivetime,5,0,5,0.2%,0.0%,0.3%,45163,0,45163,0.8%,0.0%,1.3%,20.0%,0%,20.0%,0.0%,0%,0.0%,80.0%,0%,80.0%
dbc holdings llc,5,2,3,0.2%,0.1%,0.2%,12082,0,12082,0.2%,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0%,100.0%,66.7%
jhpde finance i llc,5,5,0,0.2%,0.3%,0.0%,24720,24720,0,0.4%,1.1%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
capital one na,5,5,0,0.2%,0.3%,0.0%,8924,8924,0,0.2%,0.4%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,40.0%,40.0%,0%
communitywide federal credit union,4,0,4,0.1%,0.0%,0.3%,16820,0,16820,0.3%,0.0%,0.5%,0.0%,0%,0.0%,0.0%,0%,0.0%,50.0%,0%,50.0%
sac finance inc,4,3,1,0.1%,0.2%,0.1%,10303,10303,0,0.2%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,33.3%,0.0%
cvi sgp acquisition trust,4,0,4,0.1%,0.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,25.0%,0%,25.0%
cvi sgp-co acquisition trust,4,0,4,0.1%,0.0%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,25.0%,0%,25.0%
oliphant financial llc,4,3,1,0.1%,0.2%,0.1%,9245,9245,0,0.2%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,66.7%,0.0%
first national bank of omaha,4,4,0,0.1%,0.2%,0.0%,57666,57666,0,1.0%,2.7%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
ncb management services inc,4,4,0,0.1%,0.2%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,25.0%,25.0%,0%
ally financial inc,3,2,1,0.1%,0.1%,0.1%,12095,0,12095,0.2%,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,100.0%
bank of america n.a,3,1,2,0.1%,0.1%,0.1%,26860,5483,21378,0.5%,0.3%,0.6%,33.3%,0.0%,50.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
absolute resolutions,3,1,2,0.1%,0.1%,0.1%,7575,0,7575,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,50.0%
portfolio recovery associatesllc,3,0,3,0.1%,0.0%,0.2%,2760,0,2760,0.0%,0.0%,0.1%,0.0%,0%,0.0%,0.0%,0%,0.0%,33.3%,0%,33.3%
consumer portfolio services inc,3,1,2,0.1%,0.1%,0.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
galaxy international purchasing llc,3,2,1,0.1%,0.1%,0.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,100.0%
jefferson capital systems llc successor in interest to santander consumer usa,3,1,2,0.1%,0.1%,0.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,50.0%
westlake services llc dba westlake financial services,3,1,2,0.1%,0.1%,0.1%,9075,0,9075,0.2%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,100.0%
jefferson capital systems llc successor in interest to barclaycard/mercury card,3,1,2,0.1%,0.1%,0.1%,4412,0,4412,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,100.0%
national collegiate student loan trust 2006-3,3,1,2,0.1%,0.1%,0.1%,33323,0,33323,0.6%,0.0%,1.0%,33.3%,0.0%,50.0%,0.0%,0.0%,0.0%,33.3%,0.0%,50.0%
banks & brower llc,3,2,1,0.1%,0.1%,0.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,100.0%
tidewater finance company t\a tidewater motor credit,3,2,1,0.1%,0.1%,0.1%,15163,15163,0,0.3%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,50.0%,100.0%
uhg i llc,3,2,1,0.1%,0.1%,0.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
american express national bank fka aecb,3,3,0,0.1%,0.2%,0.0%,5549,5549,0,0.1%,0.3%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,33.3%,33.3%,0%
jhpde finance 1 llc,3,3,0,0.1%,0.2%,0.0%,9581,9581,0,0.2%,0.4%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
prestige financial services,3,3,0,0.1%,0.2%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,33.3%,33.3%,0%
professional financial services of indiana llc,3,3,0,0.1%,0.2%,0.0%,6343,6343,0,0.1%,0.3%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,33.3%,33.3%,0%
pyod llc,3,3,0,0.1%,0.2%,0.0%,4017,4017,0,0.1%,0.2%,0.0%,33.3%,33.3%,0%,0.0%,0.0%,0%,66.7%,66.7%,0%
world finance company of indiana llc,3,3,0,0.1%,0.2%,0.0%,1532,1532,0,0.0%,0.1%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,33.3%,33.3%,0%
velocity investments llc assignee of lendingclub corporation assignee of webbank,3,3,0,0.1%,0.2%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
plainfield red pride band boosters inc,3,3,0,0.1%,0.2%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
security credit services llc,3,3,0,0.1%,0.2%,0.0%,2311,2311,0,0.0%,0.1%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,33.3%,33.3%,0%
first merchants bank an indiana bank,2,0,2,0.1%,0.0%,0.1%,16463,0,16463,0.3%,0.0%,0.5%,50.0%,0%,50.0%,0.0%,0%,0.0%,50.0%,0%,50.0%
the north salem state bank,2,0,2,0.1%,0.0%,0.1%,13752,0,13752,0.2%,0.0%,0.4%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
national collegiate student loan trust 2006-1,2,0,2,0.1%,0.0%,0.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
ray skillman hoosier ford,2,0,2,0.1%,0.0%,0.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
equipment solutions llc,2,1,1,0.1%,0.1%,0.1%,20273,0,20273,0.4%,0.0%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
rlw accounts llc,2,1,1,0.1%,0.1%,0.1%,51495,0,51495,0.9%,0.0%,1.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
franciscan health indianapolis,2,1,1,0.1%,0.1%,0.1%,7594,212,7382,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,100.0%,0.0%
manistee acquisitions llc,2,0,2,0.1%,0.0%,0.1%,10195,0,10195,0.2%,0.0%,0.3%,0.0%,0%,0.0%,0.0%,0%,0.0%,50.0%,0%,50.0%
u.s. bank national association,2,1,1,0.1%,0.1%,0.1%,38311,38311,0,0.7%,1.8%,0.0%,50.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
scs credit corp.,2,1,1,0.1%,0.1%,0.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
hostetter & associates,2,1,1,0.1%,0.1%,0.1%,26068,11345,14722,0.5%,0.5%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
enerbank usa,2,0,2,0.1%,0.0%,0.1%,17874,0,17874,0.3%,0.0%,0.5%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
indiana members credit union,2,0,2,0.1%,0.0%,0.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,50.0%,0%,50.0%
jefferson capital systems llc successor in interest to american credit accept,2,0,2,0.1%,0.0%,0.1%,5243,0,5243,0.1%,0.0%,0.2%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
professional & business collections llc,2,1,1,0.1%,0.1%,0.1%,6251,0,6251,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
portfoliore recovery associates llc,2,0,2,0.1%,0.0%,0.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
westlake services llc doing business as westlake financial services,2,0,2,0.1%,0.0%,0.1%,4595,0,4595,0.1%,0.0%,0.1%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
kitch acceptance corp.,2,0,2,0.1%,0.0%,0.1%,18076,0,18076,0.3%,0.0%,0.5%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
creditone llc,2,1,1,0.1%,0.1%,0.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
persolve recoveries llc,2,0,2,0.1%,0.0%,0.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
national collegiate student loan trust 2007-4,2,1,1,0.1%,0.1%,0.1%,21467,21467,0,0.4%,1.0%,0.0%,50.0%,0.0%,100.0%,0.0%,0.0%,0.0%,50.0%,100.0%,0.0%
horizon bank,2,1,1,0.1%,0.1%,0.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
stoops buick inc doing business as stoops buick gmc,2,1,1,0.1%,0.1%,0.1%,3425,0,3425,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
parke county ems,2,1,1,0.1%,0.1%,0.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
atlas collections inc,2,1,1,0.1%,0.1%,0.1%,1997,0,1997,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
sheet metal workers fcu,2,1,1,0.1%,0.1%,0.1%,1318,0,1318,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
hendricks county bank and trust company,2,1,1,0.1%,0.1%,0.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
